"DATE","Quantity"
"2022-07-27",47440.91999999992
"2022-07-28",51192.15
"2022-07-29",45926.27999999988
"2022-07-30",643.24
"2022-08-01",49947.05900000003
"2022-08-02",54026.30840000003
"2022-08-03",53392.29199999995
"2022-08-04",53221.72599999995
"2022-08-05",46610.41599999998
"2022-08-06",612.0400000000001
"2022-08-07",2956
"2022-08-08",48506.61979999988
"2022-08-09",55288.64
"2022-08-10",55219.6960000001
"2022-08-11",50903.806
"2022-08-12",43384.09
"2022-08-13",454.68
"2022-08-14",1462.32
"2022-08-15",51009.849999999926
"2022-08-16",52131.759099999916
"2022-08-17",49883.874000000025
"2022-08-18",46731.52599999998
"2022-08-19",44407.57400000005
"2022-08-20",632.11
"2022-08-22",47079.12000000001
"2022-08-23",56654.34100000004
"2022-08-24",53913.20000000011
"2022-08-25",52303.65400000011
"2022-08-26",43662.43999999999
"2022-08-27",225.56
"2022-08-28",916.7
"2022-08-29",16849.80600000001
"2022-08-30",55004.470999999976
"2022-08-31",51523.576000000074
"2022-09-01",49612.74800000001
"2022-09-02",44147.36999999996
"2022-09-03",736.4199999999998
"2022-09-04",1296.5
"2022-09-05",47012.969499999934
"2022-09-06",50971.27799999993
"2022-09-07",52386.89000000007
"2022-09-08",52778.68999999993
"2022-09-09",44852.38999999994
"2022-09-10",138.36
"2022-09-11",3050.3
"2022-09-12",46339.48050000009
"2022-09-13",53047.80000000008
"2022-09-14",51758.1760000001
"2022-09-15",49250.50800000004
"2022-09-16",42817.98999999998
"2022-09-17",191.33999999999997
"2022-09-19",105.44000000000001
"2022-09-20",49918.18399999996
"2022-09-21",51350.989999999925
"2022-09-22",51205.34000000001
"2022-09-23",46173.43999999997
"2022-09-24",830.68
"2022-09-25",2975.5000000000005
"2022-09-26",46932.97999999993
"2022-09-27",56810.248000000014
"2022-09-28",52390.789999999986
"2022-09-29",53143.886600000005
"2022-09-30",44993.19000000002
"2022-10-01",696.1600000000001
"2022-10-02",2728.6
"2022-10-03",51132.39999999995
"2022-10-04",53249.61399999987
"2022-10-05",49026.283100000015
"2022-10-06",52022.66330000004
"2022-10-07",44541.667999999954
"2022-10-08",235.7
"2022-10-09",2683.02
"2022-10-10",47578.675999999956
"2022-10-11",53893.16200000007
"2022-10-12",50389.39099999991
"2022-10-13",54295.6471
"2022-10-14",46300.67000000002
"2022-10-15",457.5099999999999
"2022-10-16",4330.6
"2022-10-17",43701.38999999995
"2022-10-18",50787.97000000006
"2022-10-19",52032.69399999996
"2022-10-20",51277.61799999992
"2022-10-21",45514.13000000002
"2022-10-22",244.18
"2022-10-23",1440.6000000000001
"2022-10-24",48435.450000000004
"2022-10-25",50837.76000000005
"2022-10-26",53979.18000000009
"2022-10-27",55142.09000000016
"2022-10-28",46482.770000000055
"2022-10-29",910.22
"2022-10-30",2882.2
"2022-10-31",47800.91000000001
"2022-11-01",53422.84699999995
"2022-11-02",55877.24799999996
"2022-11-03",52529.12199999985
"2022-11-04",46024.20609999993
"2022-11-05",531.8199999999999
"2022-11-07",50930.87999999995
"2022-11-08",51908.76999999983
"2022-11-09",53211.51999999984
"2022-11-10",58754.749999999985
"2022-11-11",53451.36300000002
"2022-11-12",2475.6400000000017
"2022-11-13",5.58
"2022-11-14",52484.70999999995
"2022-11-15",59588.064099999996
"2022-11-16",51097.73600000011
"2022-11-17",52291.251000000055
"2022-11-18",40831.03000000002
"2022-11-19",826.8399999999997
"2022-11-20",1749.82
"2022-11-21",48658.74000000004
"2022-11-22",47088.00799999993
"2022-11-23",50910.02000000001
"2022-11-24",51947.591400000114
"2022-11-25",45199.66790000006
"2022-11-26",331.92
"2022-11-27",1516.8000000000002
"2022-11-28",49851.73819999999
"2022-11-29",53869.823500000086
"2022-11-30",54672.47000000005
"2022-12-01",51788.08000000005
"2022-12-02",47130.57299999997
"2022-12-03",713.9799999999999
"2022-12-04",1520.6999999999998
"2022-12-05",50799.69999999998
"2022-12-06",53447.599999999984
"2022-12-07",52455.19199999984
"2022-12-08",51378.549999999996
"2022-12-09",42107.729999999945
"2022-12-10",375.9999999999999
"2022-12-11",3051.4
"2022-12-12",41004.80700000006
"2022-12-13",37297.430999999946
"2022-12-14",28835.98000000001
"2022-12-15",28091.289999999986
"2022-12-16",20006.371000000003
"2022-12-17",418.14
"2022-12-18",1522.5
"2022-12-19",39884.03199999991
"2022-12-20",42126.060000000114
"2022-12-21",40591.310000000034
"2022-12-22",24908.98399999999
"2022-12-23",3594.580000000001
"2022-12-28",2732.3
"2023-01-03",4750.579999999997
"2023-01-04",21773.840000000022
"2023-01-05",27885.656000000043
"2023-01-06",25901.509999999984
"2023-01-07",185.28
"2023-01-08",2897.2
"2023-01-09",35619.47199999999
"2023-01-10",50032.652000000046
"2023-01-11",49615.28800000001
"2023-01-12",46629.76000000001
"2023-01-13",46344.03999999995
"2023-01-14",779.8600000000001
"2023-01-15",1521.9
"2023-01-16",43810.64800000011
"2023-01-17",46799.69000000005
"2023-01-18",46980.149999999994
"2023-01-19",44885.72400000006
"2023-01-20",43238.79000000008
"2023-01-21",238.64000000000001
"2023-01-22",1517.3
"2023-01-23",46021.619999999915
"2023-01-24",47307.940000000104
"2023-01-25",52492.459999999905
"2023-01-26",50858.009999999915
"2023-01-27",51335.59800000009
"2023-01-28",1498.3600000000001
"2023-01-29",1526.5
"2023-01-30",51930.8499999999
"2023-01-31",51652.96399999994
"2023-02-01",54026.30299999999
